,문서 번호,제목,질문,위치 고유번호,위치,조회수,질문 날짜
29,475847158,질문강남역 근처 수육전골 어디가 맛있나요?,강남역 수육전골 맛집 추천해주세요. 친구들과 강남역에서 만나기로 했는데 최근 날씨가 선선해져서 수육전골을 먹기로 했습니다. 강남역에 수육전골 맛집이 있을까요? 분위기도 좋고 맛도 좋은 곳으로 추천해주세요.,011510,서울특별시 강남구 역삼동 , 21,2024.09.26
30,476683768,질문역삼역의 특징,은 무엇인가요,011510,서울특별시 강남구 역삼동 , 22,2024.10.17
31,476654087,질문역삼 한의원 본디 점심시간 있나요?,최근 잦은 야근으로 어깨 통증이 있어 한의원에 침을 맞으러 가려고 합니다. 12시쯤에 방문할 예정인데 역삼 한의원 본디 점심시간 있나요? 있다면 몇 시부터 몇 시까지인지 알려주세요.,011510,서울특별시 강남구 역삼동 , 10,2024.10.15
32,476609135,질문강남 묻지마 살인사건,8년전에 신논현역 주변 오래된 상가외부 남녀공용화장실에서 묻지마 살인사건이 일어났었잖아요? 혹시 8년이 지난 현재에도 신논현역 근처 오래된 상가외부에 남녀공용화장실이 많이 남아있나요?,011510,서울특별시 강남구 역삼동 , 18,2024.10.14
33,476604003,질문서울 파스타 맛집 치스타리에 강남역점 주차장 있나요?,"서울 파스타 맛집 치스타리에 강남역점에서 식사를 할 예정인데 여기는 주차를 어디에 하나요? 전용 주차장이 있는지, 주차권을 주시는지, 주차요금은 얼마인지 등 주차 정보 좀 알려주세요.",011510,서울특별시 강남구 역삼동 , 11,2024.10.14
34,476603957,질문강남 한정식 역삼역 다온정 주차 어디에 하나요?,"강남에 있는 한정식집 역삼역 다온정에서 식사를 할 예정인데 여기는 주차를 어디에 하나요? 전용 주차장이 있는지, 주차권을 주시는지, 주차요금은 얼마인지 등 주차 정보 좀 알려주세요.",011510,서울특별시 강남구 역삼동 , 10,2024.10.14
35,476497100,질문종각역 맛집 솔솥 종로 타워점 주차 어디에 하나요?,"종각역 맛집으로 유명한 솔솥 종로 타워점을 가보려고 하는데 여기는 주차를 어디에 해야 하나요? 전용 주차장이 있는지, 주차비 지원이 되는지 궁금합니다. 주차 정보 좀 알려주시면 감사하겠습니다.",011510,서울특별시 강남구 역삼동 , 13,2024.10.11
36,476495190,질문역삼동 고기집 역삼돈 추천 메뉴 있을까요?,"숙성육을 좋아하는 편인데, 역삼동을 대표하는 돼지 숙성 전문점이 있다고 해서 역삼돈을 방문하려고 합니다. 대표 메뉴 말고도 함께 곁들여 먹기 좋은 추천 사이드 메뉴가 있다면 추천 부탁드립니다.",011510,서울특별시 강남구 역삼동 , 15,2024.10.11
37,476415107,질문고딩 엄마 역할 해 주실 4-50대 여성분 구해요,*쓸데없는 잔소리 답변 거절합니다. 불편하면 걍 넘기세요 저는 고등학교 2학년 여학생이구요 시술받으러 갈때 엄마 역할 해 주실 분 구해요 날짜는 상의 후에 정해요 동반해서 가야하면 3만원 드리고 +버스비 전화연결로 하게되면 1만원 드려요 (전화연결은 정말 간단해서 1분도 안걸립니다.) 만약 동반으로 가야한다면 병원앞에서 만나서 들어가서 상담할때 보호자 동의만 해 주시면 (제 기본 정보먼저 숙지하시고) 제가 알아서 다하고 병원 나와서 바로 이체해드리고 헤어지면 됩니다! (30분도 안걸려요) 시술받을 병원은 역삼동이구요. 여러번 해봤습니다. 가능하신분 여기 옾챗으로 연락 주세요! 날짜랑 시간은 저랑 상의하시고 편한대로 정해요 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 시술 https://open.kakao.com/o/sbqIXBTg,011510,서울특별시 강남구 역삼동 , 21,2024.10.09
38,476207012,질문서울역에서 강남데시앙루브오피스텔 가기,안녕하세요 태어나서 처음으로 서울갑니다  부산서 새벽기차타고 서울역 내려서 강남 데시앙루브 오피스텔 갈려구요 초행길이고 처음으로 서울갑니다 서울역내려서 강남 데시앙루브 가는길 좀 부탁드려요  자세히 가장 쉬운 방법으로 알려주시길 부탁드려요 또 시간은 얼마나 걸릴까요? 지식인 님들  조언 부탁드립니다,011510,서울특별시 강남구 역삼동 , 28,작성일2024.10.08
39,476315116,질문신논현역 양식 맛집 치스타리에 메뉴 어떤 게 맛있나요?,"신논현역 근처에서 친구들과 청첩장 모임을 가지려고 하는데, 가성비 좋고 양식 맛집으로 유명한 치스타리에로 예약하려고 합니다. 예약 방법과 메뉴 추천 부탁드립니다. 인원은 5명입니다.",011510,서울특별시 강남구 역삼동 , 13,2024.10.07
